Shape_ID;Top_Rad;Bottom_Rad;Angle;Edges;Height;Bevel_Offset;Bevel_Height;Bevel_Weight;T1;T2;T3;T4;T5;Average_Cd;Outcome
Shape_6741;38;82;317;22;159;5;16;3;0.21;0.2;0.19;0.19;0.19;0.2;Optimal
Shape_6748;131;10;325;40;256;-1;1;-1;0.25;0.25;0.22;0.24;0.26;0.24;Optimal
Shape_6749;3;142;300;63;184;5;11;0;0.24;0.22;0.24;0.24;0.22;0.24;Optimal
Shape_6750;6;98;172;58;113;6;6;-2;0.26;0.26;0.25;0.24;0.26;0.25;Optimal
Shape_6754;28;57;198;46;126;9;3;2;0.22;0.23;0.23;0.25;0.24;0.23;Optimal
Shape_6765;12;29;276;16;291;7;3;0;0.25;0.24;0.26;0.25;0.25;0.25;Optimal
Shape_6773;50;94;357;61;344;0;0;0;0.24;0.25;0.26;0.24;0.24;0.25;Optimal
Shape_6780;96;141;291;60;51;6;9;2;0.25;0.24;0.27;0.26;0.23;0.25;Optimal
Shape_6784;15;166;303;24;61;-1;8;2;0.24;0.25;0.26;0.25;0.25;0.25;Optimal
Shape_6785;45;79;250;63;52;1;5;2;0.18;0.18;0.21;0.17;0.19;0.19;Optimal
Shape_6789;75;28;234;54;85;-2;2;0;0.26;0.26;0.23;0.27;0.24;0.25;Optimal
Shape_6793;122;33;236;60;147;-1;12;3;0.26;0.25;0.25;0.24;0.25;0.24;Optimal
Shape_6800;33;27;336;20;187;4;8;3;0.15;0.15;0.15;0.13;0.16;0.15;Optimal
Shape_6806;48;72;292;62;126;6;5;3;0.15;0.16;0.16;0.18;0.16;0.16;Optimal
Shape_6807;16;25;345;20;321;-4;12;2;0.18;0.18;0.2;0.19;0.18;0.19;Optimal
Shape_6820;73;16;282;54;273;5;10;-2;0.22;0.21;0.23;0.2;0.22;0.21;Optimal
Shape_6824;101;62;348;31;170;4;4;2;0.2;0.22;0.21;0.22;0.23;0.21;Optimal
Shape_6827;59;53;339;17;168;7;12;0;0.23;0.26;0.25;0.22;0.26;0.24;Optimal
Shape_6830;66;31;176;42;106;-2;8;3;0.25;0.26;0.26;0.26;0.24;0.25;Optimal
Shape_6833;136;26;283;41;32;-1;13;-2;0.23;0.22;0.23;0.24;0.22;0.23;Optimal
Shape_6838;9;61;273;44;196;1;16;-2;0.21;0.2;0.19;0.19;0.19;0.2;Optimal
Shape_6839;66;84;316;48;56;8;6;0;0.22;0.23;0.2;0.24;0.24;0.22;Optimal
Shape_6843;65;39;241;51;76;2;8;2;0.2;0.19;0.21;0.2;0.23;0.21;Optimal
Shape_6847;171;56;327;63;103;4;11;-2;0.24;0.24;0.21;0.24;0.23;0.23;Optimal
Shape_6858;116;41;345;20;184;7;8;-1;0.26;0.26;0.23;0.26;0.25;0.25;Optimal
Shape_6863;57;80;342;59;63;0;0;0;0.18;0.2;0.21;0.19;0.21;0.2;Optimal
Shape_6891;16;24;207;4;21;6;18;3;0.21;0.21;0.22;0.22;0.22;0.22;Optimal
Shape_6901;6;52;334;38;307;-2;2;-1;0.21;0.17;0.21;0.17;0.18;0.19;Optimal
Shape_6906;43;61;240;28;16;2;14;-1;0.25;0.26;0.26;0.27;0.24;0.25;Optimal
Shape_6909;141;60;341;28;120;-2;12;2;0.26;0.25;0.26;0.25;0.27;0.25;Optimal
